"","R2A.3.SIVmac239.gp120","R2A.3.SIVmac239.gp130","R2A.3.SIV.1A11.gp140","R2A.3.SIV.E543.gp140","R2A.3.SIVmac239.gp140","R2A.3.SIVmac239.gp140.AVI.His","R2A.3.J08.V1V2.E660.084.AVI.His","R2A.3.J08.V1V2.E660.2A5.AVI.His","R2A.3.J08.V1V2.mac239.AVI.His","R2A.3.V1a","R2A.3.G49","R2A.3.C1.Ak","R2A.3.C1.TR","R2A.3.G73","R2A.3.SIVsm.E660.2A5","R2A.3.SIVsm.E660.84","R2A.4.low.SIVmac239.gp140","R2A.4.high.SIVmac239.gp120","R2A.4.high.SIVmac239.gp130","R2A.4.high.SIV.E543.gp140","R2A.4.high.SIVmac239.gp140","R2A.4.high.J08.V1V2.E660.084.AVI.His","R2A.4.high.J08.V1V2.E660.2A5.AVI.His","R2A.4.high.J08.V1V2.mac239.AVI.His","R2A.4.high.V1a","R2A.4.high.G49","R2A.4.high.C1.TR","R2A.4.high.SIVsm.E660.2A5","R3A.3.SIVmac239.gp120","R3A.3.SIVmac239.gp130","R3A.3.SIV.1A11.gp140","R3A.3.SIV.E543.gp140","R3A.3.SIVmac239.gp140","R3A.3.SIVmac239.gp140.AVI.His","R3A.3.J08.V1V2.E660.084.AVI.His","R3A.3.J08.V1V2.E660.2A5.AVI.His","R3A.3.J08.V1V2.mac239.AVI.His","R3A.3.V1a","R3A.3.C1.Ak","R3A.3.C1.TR","R3A.3.G119","R3A.3.G73","R3A.3.SIVsm.E660.2A5","R3A.3.SIVsm.E660.84","C1q.SIV.E543.gp140","C1q.SIVmac239.gp140","C1q.J08.V1V2.mac239.AVI.His","C1q.V1a","C1q.C1.TR","C1q.G73","rR2A.1.SIVmac239.gp140","rR3A.1.SIVmac239.gp120","rR3A.1.SIVmac239.gp130","rR3A.1.SIVmac239.gp140","rR3A.1.SIVsmE543.gp140","hC1q.SIVmac239.gp120","hC1q.SIVmac239.gp130","hC1q.SIVmac239.gp140","hC1q.SIVsmE543.gp140","hFcgRIIIb.SIVmac239.gp120","hFcgRIIIb.SIVmac239.gp140","rR3A.3.SIVmac239.gp120","rR3A.3.SIVmac239.gp140","rR3A.3.SIVsmE543.gp140","hFcgRIIIa_F158.SIVmac239.gp140","hFcgRIIa.SIVmac239.gp140","aRhIgG.PE.low.SIVmac239.gp120","aRhIgG.PE.low.SIVmac239.gp130","aRhIgG.PE.low.SIV.1A11.gp140","aRhIgG.PE.low.SIV.E543.gp140","aRhIgG.PE.low.SIVmac239.gp140","aRhIgG.PE.low.SIVmac239.gp140.AVI.His","aRhIgG.PE.low.J08.V1V2.E660.084.AVI.His","aRhIgG.PE.low.J08.V1V2.E660.2A5.AVI.His","aRhIgG.PE.low.J08.V1V2.mac239.AVI.His","aRhIgG.PE.low.V1a","aRhIgG.PE.low.C1.Ak","aRhIgG.PE.low.G119","aRhIgG.PE.low.G73","aRhIgG.PE.low.SIVsm.E660.2A5","aRhIgG.PE.low.SIVsm.E660.84","aRhIgG.PE.high.SIVcpz.EK505.gp120","aRhIgG.PE.high.SIVmac239.gp120","aRhIgG.PE.high.SIVmac239.gp130","aRhIgG.PE.high.SIV.1A11.gp140","aRhIgG.PE.high.SIV.E543.gp140","aRhIgG.PE.high.SIVmac239.gp140","aRhIgG.PE.high.SIVmac239.gp140.AVI.His","aRhIgG.PE.high.J08.V1V2.E660.084.AVI.His","aRhIgG.PE.high.J08.V1V2.E660.2A5.AVI.His","aRhIgG.PE.high.J08.V1V2.mac239.AVI.His","aRhIgG.PE.high.V1a","aRhIgG.PE.high.C1.Ak","aRhIgG.PE.high.G73","aRhIgG.PE.high.SIVsm.E660.2A5","aRhIgG.PE.high.SIVsm.E660.84","rIgG_low.SIVcpz.EK505.gp120","rIgG_low.SIVmac1A11.gp140","rIgG_low.SIVmac239.gp120","rIgG_low.SIVmac239.gp130","rIgG_low.SIVmac239.gp140","rIgG_low.SIVsmE543.gp140","rIgG_high.SIVmac1A11.gp140","rIgG_high.SIVmac239.gp120","rIgG_high.SIVmac239.gp130","rIgG_high.SIVmac239.gp140","rIgG_high.SIVsmE543.gp140","SIVmac239.gp140.HisAVI.IgA","SIVmac239.gp140.IgA"
"08D117",28340,25091.5,13442,56282,105564,8260,30586,30848,31350,23564,8375,10348,18343,5043,20976,1060.5,7095,1087,623.5,19106,43981.5,7195,5433,6770,11967,15530.5,28978.5,412.5,32855,26265.5,12881,49932,95965,3111.5,24464.5,26494,26380,17073,3448,6477.5,2757,954.5,30620,4514,951,5061,268.5,440.5,998,539,1079.5,351,375,3417,1204.5,993,533,19265.5,2520,243,4932,473,2248,880.5,1404.5,591,10119,7876,3227,12282,60830,317,3633,3654,4172.5,2188,215.5,439,191.5,11509,1655,708,49978,43753,22344,76209,129823,2138.5,35500,38156,41519,23210,1083,771,39717.5,11362,628,3763.5,28508.5,26503,83706.5,55466.5,3204.5,10767,8795.5,62747.5,14394,163.5,254
"8-96",15267,13033,4577,559,84542.5,3764.5,2380,1825,32364.5,2961,3244,4102,8651,14860,405,158.5,68.5,117,87,67.5,16155,1334,830.5,2492,6838,13451,22275.5,69,10292,5653,1045,746,50092,1589,1182,1070,16758,960,2324,4974,552,4451,414.5,166,131,572.5,277,656,1202,954,130,158,138,1321.5,67,47,62,518,57.5,72,167.5,140,432,57.5,144,124,3403.5,2583,1190,705,14179,299,482,575,3164,694,372.5,210.5,1014,696,417.5,506,18035,13681,4310,4355,61320.5,1749,2899,3535,18947,3505,2030,5614,5111.5,2727.5,583,4851,30210,24172,71678,11979.5,699.5,3541,2510,15031,860.5,99,158.25
"8-20",43069,11348,7593,45794,96808.5,16284.5,71774,80746,78911,120772,5531,8643,13987.5,67192,47424,6095.5,68,1307,92,11497.5,39376,18605,28580,26938,52007,11978,20429,558,19038,4729,1851.5,29298,54321,5765,40082,48541,40721,99066,3380,6020,2913,32798,19631,2577.5,203,900.5,693,6518,934.5,1375.5,138,222,167,2435,1039,43.5,62,4092,97,123,537.5,313,757,284.5,263,151,5569,2143,1588.5,6962,15540,864,8526,11283,10708,38828,471,481,6293,8915,1768,226,18901,7380,4195.5,23780.5,48815,2732,29731,39911.5,35819,103010.5,1218,22127.5,22640,5294,365,3086,29068,19394,70513,45384.5,1836.5,5896,2229.5,15379.5,7714,131.75,204.5
"08D061",54857,45577,23404.5,18278.5,112427,6914,43046.5,39079,36799,4297,6321,7575.5,15303,4481.5,45988,1118,70.5,149,101,115,19175,846,565,490.5,4518,9510,16250,76,24920,26151.5,5365.5,10417,66325,1831.5,13747,13580,10653,924,2127,5325.5,527.5,591,18172,1110,98,518,118.5,222,533,415,171,126.5,198.5,1611,135.5,184.5,139,1532,160,86,129.5,190.5,587,102,193,110,8112,2074,1325.5,2142.5,25399.5,250,1975,1717,1948.5,391.5,199,143,157.5,2138.5,576.5,722.5,33413.5,25422,9654.5,16791,81316.5,1062,14475.5,15092.5,15011,2152,1235,762,26174,5876,724,4984,25082,25128.5,62878.5,23356.5,2043,8277,5774,37650.5,2249.5,180.75,283.75
"08D078",108607.5,98792,61309,106339,144609,18400,89330.5,97174,103056,112906,3393,12890,14231.5,13581,101278,50183,1857.5,12416.5,3788,34314,66427.5,8178,10731,21740,34257,5377,10972,2987,56270,59599.5,26471,78204,133015,6323.5,35842,41222,57456,82137,4752,5154.5,5562.5,2980,46854,18704.5,1823,63452.5,597,5346.5,270,264,668,1059,779,5442,2485.5,281,189.5,9000.5,1660,716.5,4988,782,1899,1060.5,893,581.5,23609.5,15714,9736.5,21967.5,87586.5,793,4475,6269.5,9042,12485,721,998,718,16868,4354.5,1199.5,66040,51824,33732.5,84907.5,134497,4467,41884,53762,65094,84109,4167,3773.5,50171.5,20908,1048.5,7227,46305,37389.5,81445,60140,6562,19977,14502,76023,26016,146,190
"08D114",47629,34074.5,22207,75673,122801,18057.5,28979,34018,55381,71444,9034.5,31258.5,24681,7311,18821.5,2456.5,19471,3146,783.5,16628,49225,4676.5,6736.5,13038.5,30050.5,13989,27428,367,61936,55769,22594.5,73849,120270,11806,31190,35978,52850.5,60933,27029,12770.5,15778,2622,36047,12708,1603,14366,819,1747,893.5,403,713.5,1167,757,5218,2503,1539,528,55408,15369,634,4805,640.5,1686,929,1077.5,545.5,16303,10343,4965.5,17635.5,71671.5,1089,2153,3074,5480.5,7212,1968.5,1964,515,6096,1669,974,62711.5,42841,18422.5,85123.5,134976,8927.5,31886,43046,66439,77178,18069,2399,33881,14381,962,5908,53216.5,39825,86864.5,69755,4237,20629,13137,69717,25934.5,381.75,500.5
"08D165",80621,77588,67237,56339,137655,13555.5,55141.5,71672,83448,98690,5843,33687,12295,7563,63521,26266,4200,28979,20201,26664.5,69700,5364,6439.5,12535.5,30438,7971,14801,6014,45235,48723.5,17050,27964,119312,4703,19517,27839,33698.5,53865,12091,4508,736.5,2012.5,34986.5,11034,183,28956,553,9677,345,294.5,931,1074,1046,5675.5,775,2220,1405,48601.5,595,576,4497,766.5,2380,380,1188,516,15910,12171.5,7490.5,8265,67602,834.5,3871,5035,6652,10656,1361,340,645,8958.5,4021,860,61104,49362,31715,39569.5,128182,4187,30757,38441,44939,66884,9245,2833,40891.5,23826,1271.5,7704,55489.5,46037,93543,46188.5,3800,14362,10392.5,58454,7749.5,244,354.5
"08D235",89558.5,81122,46466.5,88202,146946,22754,78671,84200.5,100662,107080,4078,27839,21706,4002,48496,8390,19198,29800,16666,45680,71432,14568,22481,42385,32080,8530,16897,1590.5,53545.5,44312,19198,70589,135022,10828,46170,53398,73621,58618.5,11904.5,12933.5,620,1150,24464.5,4969,1579,12486,1562,1615.5,465,323,808,885,662.5,5487.5,1996.5,1194,573,53263,6441,679,3361,849,2223.5,852.5,1083,543,20679.5,13930,6655,13904,93366,1339,5707,7472,14044,10197.5,1096,446,559,7879,2181,848,68639.5,50548,24635,81966,131031.5,6754.5,47401,57729.5,77360.5,72321.5,7354,963,37107,12758,797,4406.5,47727,38648,85221,56970,2738,14591,10895,67657.5,17685,213.25,317.25
"8-82",72846,61389,30142,76585,136823,10220,50000,45224,83562,29913.5,8478,10394,18058,7142,46238,8802.5,20566,9603,5588.5,24498.5,56795,6318,7063,20132.5,6400.5,4018,8509,1420,101824.5,88714.5,49020,83767,149887,5033.5,69038,82730,89102,41131,3520,5382,14670,5631,84588,53853.5,1103,17142,2323,409,647,361,1102,3223,1781,7347,3325,7604,2832,56550,10561.5,1693,5767,1098,2346,979,1466,636,20041,14234,6522.5,17780,74008.5,605.5,5199,5437.5,12044.5,2494,366,1304,585,11241,3389.5,1228,81327.5,66006,31738,85477,134315,2270,45235,48701,83003.5,21569,817,3552,49818,22572,1304,7253,70839,52774,95256.5,66364,3521.5,15007,10062.5,56767,14666,337.25,457.5
"08D166",103261,82536,53694,75946.5,145966,42043,106111,99909.5,114672.5,110489,5579.5,8856,14427,8266,77497,29458,2395,7576,4642,13778.5,52736.5,18058,12137.5,26060,26436.5,8060,15227,1005.5,61936,41473,25525,47424,129652.5,17852,58163,68172,75274.5,75559.5,3174,4853,15974,2653,47868.5,13093,532,41131,9976.5,14339,229,280,1930.5,2130,1068,7004,2180,9324.5,3660.5,53543,6115.5,1915,6102,1355,2495,826,2082.5,591.5,18696,12549,6591,9881,72367,1690.5,9157,11049.5,13336.5,11308,491,2275,562.5,11371.5,3620.5,895.5,69928,50274,24954.5,63498,129447,10494,60055,71159,81373,75320,1644.5,1982,50867,19801.5,1200.5,8398,70781,47902,100874,72179,4225,18523,10298,61340,9699,225.5,329.25
